nom,code_postal,code_insee,position
Bourail,98870,98803,POINT(165.494 -21.5689)
Dumbéa,98830,98805,POINT(166.44 -22.17)
Koné,98860,98811,POINT(164.863 -21.0591)
Nouméa,98800,98818,POINT(166.47 -22.2355)
Paita,98890,98821,POINT(166.358 -22.1322)
Robinson,92350,92060,POINT(166.5115 -22.3005)
